,Questions,Options,Answers
10,"13. The nurse cares for a patient who takes metformin daily.  The patient complains of muscle pain, nausea, and feeling tired.  What laboratory test should the nurse perform Þrst?",a.Complete blood count.b.Liver function test.c.C-reactive protein.d.Arterial blood gas.,"d. Metformin causes lactic acidosis by reducing pyruvate dehydrogenase activity and 
mitochondrial transport of reducing agents, and thus enhances anaerobic metabolism. 
The quickest way to assess for lactic acidosis is an arterial blood gas.  Acidosis is 
characterized by an arterial pH < 7.35.
"
11,"14. Before the nurse administers dilaudid 8 mg PO, which vital sign is it most important to assess?",a.Blood pressure.b.Heart rate.c.Respiratory rate.d.Temperature.,"c. Opioid analgesics depress the respiratory reßex by a direct effect on brain stem 
respiratory centers.  The mechanism of respiratory depression also involves a reduction 
in the responsiveness of the brain stem respiratory centers to increases in carbon 
dioxide.  The respiratory rate should be monitored before and throughout the 
administration of all opioids and opiates.
"
12,15. The nurse observes a patient at the community clinic as she prepares her daily medications.  The nurse knows that teaching has been effective when the patient states:,"a.ÒI can crush enteric coated aspirin to make them easier to swallow.Ób.ÒIf I forget to take a dose of my medication, I can take twice the amount next time.Óc.ÒI share medications with my wife when she runs out.Ód.ÒIÕll talk to my physician about switching to a generic if I canÕt afford the medication.Ó","d. Enteric coated medications are designed to be released slowly into the bloodstream.  
Crushing can alter this mechanism.  Sharing medications can lead to errors of over or 
under-dose. Doubling medications can lead to overdose.  
"
13,16. The nurse evaluates the effectiveness of warfarin therapy in the patient.  What serum test will be most accurate in assessing the therapeutic value of warfarin?,a.Partial thromboplastin time (PTT).b.International normalized ratio (INR).c.Complete metabolic panel (CMP).d.Platelet count.,"b. INR is used to determine the clotting tendency of a patientÕs blood.  It is a 
standardized measurement of time that indirectly assesses warfarin doses, liver 
damage, and vitamin K status. The target range for INR in warfarin use is 2-3.
"
14,17. Which of the following is considered a contraindication for the administration of metoprolol?,a.Hypertension.b.Increased urine output.c.Decreased respiratory rate.d.Bradycardia.,"d. Metoprolol blocks the response of beta-adrenergic stimulation.  It is cardioselective 
for beta 1 at low doses.  It decreases heart rate, so if a patient has a heart rate of less 
than 60 beast/min, it is not safe to administer.
"
15,18. The patient reports to the nurse that the last time he had an intravenous pyelogram performed he had an anaphylactic response from the contrast dye.  The nurse knows that an anaphylactic response includes all of the following except:,a.Sedation.b.Hives.c.Shortness of breath.d.Angioedema. ,"a.Anaphylaxis is a serious allergic reaction that is rapid in onset and may cause death.  
It is typically caused by insect stings, foods, or medications.  Anaphylaxis is caused 
by the release of inßammatory mediators from white blood cells. 
"
16,19. The nurse educates the patient who has recently been prescribed escitalopram for depression.  The nurse should include what common side effect in the teaching?,a.Hyperglycemia.b.Anemia.c.Diarrhea.d.Weight gain.,"d. Up to 25% of patients on antidepressants gain weight.  It is theorized that 
antidepressants trigger food cravings, particularly for carbohydrates. The drugs may 
also affect metabolism.  Also, some postulate that when the patient becomes less 
depressed, the patient may regain appetite.
"
17,20. Which of the following would be considered an advantage of intramuscular injection over subcutaneous injection?,a.Less painful.b.Easier self-injection.c.More injection sites to choose.d.Absorbs into bloodstream more quickly.,"d. Intramuscular injections are more painful with less anatomical sites to choose from.  
However, intramuscular injections are deposited in tissue with better blood supply, 
making their absorption time lower.
"
18,"21. The nurse cares for several patients in the intensive care unit.  Which medication should the nurse administer Þrst?intracranial pressure (ICP) of 22 mmHg.glucose of 205.177/96.d.Amoxicillin 1000 mg IV for a patient diagnosed with a lower respiratory tract infection, expectorating copious green sputum, and a temperature of 101 F (38.5C).",a.Mannitol 0.5-1.5 gm/kg IV for a patient suffering from a closed head injury and b.Insulin regular 10 units subcutaneously for a type 2 diabetic patient with a blood c.Propranolol 40 mg PO for a patient with chronic hypertension and a blood pressure of ,"a.Mannitol is an osmotic diuretic used to treat intracranial hypertension (ICP).  Severe 
intracranial hypertension is considered >20 mmHg.  Immediate action is required as 
permanent brain tissue damage and herniation may take place.
"
19,22. Which category of drugs is used to treat certain types of malignancies?,a.Alkylates.b.Androgens.c.Surfactants.d.Anticholinergics.,"a.Alkylation is the transfer of an alkyl group from one molecule to another. In medicine, 
alkylation of DNA is used in chemotherapy to damage the DNA of cancer cells. The 
class of drugs is called alkylating anti-neoplastic agents.
"
20,23. The nurse administers fentanyl 25 mcg IV to a patient for pain.  Which is the best way for the nurse to dispose of the remaining 0.75 mL of ßuid?,a.Put the vial in the trash.b.Seal the medication in plastic bag and return to pharmacy.c.Pour the liquid in the sink drain.d.Return the remaining dose to the medication-dispensing machine.,"c. Each hospital has speciÞc policies that may include putting the vial in the sharps 
container or ßushing the liquid down the toilet.  More commonly, putting the medication 
in the trash is a sharps risk and creates access for drug seekers.  Sending the drug to 
pharmacy or returning it to the medication administration machine is rarely done as 
multi-dose vials have fallen out of favor due to infection potential.
"
21,24. The nurse cares for a patient taking a ßuticasone/salmeterol powder inhaler BID that contains a corticosteroid.  The nurse knows that teaching has been effective when the patient states:,a.ÒI will shake the inhaler before using it.Ób.ÒThis inhaler will act quickly to treat my shortness of breath.Óc.ÒI will use a spacing-chamber to increase the dose I receive.Ód.ÒI will rinse my mouth out after taking this medication.Ó,"d. Powder inhalers should not be shaken as this can reduce the dose.  Spacers are only 
used with metered-dose inhalers.  Corticosteroids are not emergency inhalers.  They 
are maintenance medications so their effect is not immediate.  Thrush, or oral 
candidiasis, is a yeast/fungal infection of the mouth that occurs with corticosteroid use.  
The patient should rinse out their mouth after using. 
"
22,25. The nurse auscultates the heart of a patient diagnosed with mitral valve regurgitation.  What should the nurse expect to hear?,a.High-pitched blowing at base.b.Mitral click.c.Diastolic murmur beneath right clavicle.d.Low-pitched diastolic murmur at the apex.,"d. Mitral valve regurgitation, or mitral insufÞciency, is a disorder of the heart in which the 
mitral valve does not close properly when the ventricles contract.  This causes a 
backward ßow of blood into the atrium heard during diastole.
"
23,26. The nurse cares for a patient in the intensive care unit.  The patient is suspected of having valvular dysfunction.  What is the best way to assess the patientÕs status?,a.Angiogram.b.Echocardiogram.c.Plethysmograph.d.Pulmonary function test.,"b. Coronary angiogram and cardiac catheterization are not generally used to diagnose 
valve issue.  The most common method is echocardiogram.  Echocardiography uses a 
hand-held probe that generates sound waves that bounce off of structures in the heart 
to create 2 and 3-dimensional images.  It is routinely used in the diagnosis, 
management, and follow-up of patients with heart disease.
"
24,"27. The nurse cares for a patient in the neuroscience intensive care unit.  The patient is diagnosed with a tumor and experiences a loss of visual capabilities, an inability to identify colors, and hallucinations.  The nurse knows that the tumor is affecting what area of the brain?",a.Frontal lobe.b.Temporal lobe.c.Occipital lobe.d.Parietal lobe.,"c. Occipital lobe tumors cause deÞcits in almost all cases.  Visual hallucinations without 
seizures are strongly suggestive of occipital lobe lesions.
"
25,28. The nurse cares for a diabetic patient who has just arrived to the emergency department.  The patient breathes deeply and in a labored pattern.  How would the nurse best describe the breathing pattern?,a.Kussmaul respirations.b.Cheyne-Stokes respirations.c.BiotÕs respirations.d.Steven-Johnson respirations. ,"a.Kussmaul breathing is a deep and labored pattern often associated with severe 
metabolic acidosis, particularly diabetic ketoacidosis.  It is a form of hyperventilation 
to compensate for an acidotic serum state. 
"
26,29. The most common cause of hospitalization for patients older than 75 years of age is:,a.Pneumonia.b.Hypertension.c.Heart failure.d.Cancer.,"c. Heart failure is common in the elderly.  Approximately 6-10% of the population 65 
years or older has heart failure.  The common causes of heart failure include ischemic 
heart disease, valvular heart disease, hypertension, and cardiomyopathy. 
"
27,30. The nurse supervises a nursing student caring for a patient in the intensive care unit recovering from the surgical removal of neck cancer.  The patient has a tracheostomy.  Which statement by the student nurse indicates teaching has been successful?,a.ÒI will cut a piece of gauze to Þt around the tracheostomy site.Ób.ÒI will administer humidiÞed oxygen to the patient.Óc.ÒI will clean the area around the tracheostomy with alcohol.Ód.ÒI will avoid suctioning until 48 hours after the surgery.Ó,"b. HumidiÞed oxygen is important for a patient whose upper airway has been bypassed. 
The function of the upper airway is to Þlter, humidify, and warm air.  Alcohol is too 
abrasive on the skin.  Cutting gauze can create loose strands that can become lodged 
in the airway.  A drain sponge should be used.  Suctioning can and should be performed 
regularly immediately following surgery.
"
28,31. The nurse administers an electrocardiogram.  Which instruction should the nurse include for the patient?,a.ÒLie on your stomach.Ób.ÒTry to move as little as possible.Óc.ÒHold your breath when I tell you.Ód.ÒMake sure to uncross your legs.Ó,"b. Patient movement while performing an ECG will disrupt the electrical pattern and 
cause interference.  The patient is allowed to cross their legs, breath normally, and lie 
supine.
"
29,32. The nurse cares for a patient suffering from gastritis.  The nurse should encourage the patient to drink a minimum of how many liters per day?,,"b. Diets for gastritis are aimed at sparing the gastrointestinal tract from irritation, 
reducing inßammation, and improving the healing of the mucosa.  SufÞcient hydration is 
important.  Common causes of gastritis include Helicobacter pylori and NSAIDs.
"
30,"33. The triage phone nurse receives a call from the parent of a child reporting fever, drooling, and difÞculty swallowing.  What should the nurse instruct the parent to do Þrst?",a.ÒApply a cold compress to the neck.Ób.ÒInspect the back of the throat for redness.Óc.ÒApply a warm compress to the neck.Ód.ÒCome into the hospital right away.Ó,"d. Epiglottitis most commonly affects children and is caused by a bacterial infection of 
the epiglottis.  Drooling and difÞculty swallowing signal a potential progression toward 
upper airway obstruction, which is a medical emergency.  Inspecting the childÕs mouth 
or throat could further irritate the area causing rapid swelling.  
"
31,34. The nurse cares for a patient on medical-surgical unit who returned from an abdominal surgery yesterday.  The nurse is most concerned about:,a.Aspiration associated with surgical injury to the lower esophageal sphincter.b.Recurrent pneumothorax from surgical trauma.c.Respiratory infection from shallow respirations due to incisional pain.d.General anesthetic withdrawal causing delirium and self-injury.,"c. Patients recovering from abdominal surgeries may take shallow breaths due to 
incisional pain.  Encouraging deep breathing, coughing, and use of an incentive 
spirometer can help.  Aspiration, pneumothorax, and delirium are not risks.
"
32,35. The nurse cares for a patient with AIDS diagnosed with toxoplasmosis.  What laboratory data best illustrates the lowered immunity of this patient?,a.T-cell count of 200.b.CD4 count of 100.c.T-cell count of 750.d.CD4 count of 200.,"b. T-cell and CD4 (T-lymphocytes) are different names for the same lymphocyte that 
plays a central role in cell-mediated immunity.  Acquired immunodeÞciency 
syndrome is characterized by a count below 200 cells per microliter.
"
33,36. The nurse assesses the vital signs of a 6-month-old at the outpatient clinic.  The respiratory rate is 45 breaths per minute.  What should the nurse do next?,a.Administer a simple facemask at 8 L/min.b.Sit the patient upright and recheck the respiratory rate.c.Alert physician and prepare for transport to hospital.d.Document Þndings and continue with the assessment.,"d. The normal range for vital signs changes as a patient ages.  For children under 1 
year of age, a respiratory rate of 30-60 breaths per minute is a normal Þnding.  The 
heart rate range is 100-160 beats/min.  
"
34,37. The nurse counsels a patient with a herniated lower lumbar spinal disk at the community clinic regarding lifting technique.  Which muscle should the nurse encourage the patient to utilize while lifting objects? ,a.Quadriceps.b.Rectus abdominis.c.Erector spinae.d.Latissimus dorsi.,"a.Lifting with the legs as opposed to the back is important for patients with lower back 
pain.  Using solely the back to lift objects can create unnecessary strain and risk 
further injury.
"
35,38. The nurse cares for a patient who has just returned from a cardiac catheterization.  Which Þnding would alert the nurse to contact the physician immediately?,a.Unable to palpate dorsalis pedis pulse. b.Weak ulnar pulse.c.Bounding brachial pulse.d.Visible abdominal aortic pulse. ,"a.Cardiac catheterizations typically utilize the femoral artery to feed a catheter toward 
the heart for examination.  When the introducer sheath is removed, an occlusive 
pressure dressing is placed.  There is a risk of thrombus to the puncture site, which 
would manifest as the inability to palpate a distal pulse, such as the dorsalis pedis or 
posterior tibial.  A visible abdominal aortic pulse is a normal Þnding on patients with 
less abdominal girth. 
"
36,39. The nurse cares for a patient with a chest tube in place after gunshot wound to the chest.  Which Þnding should alert the nurse to contact the physician?,a.Intermittent bubbling in the water-seal chamber.b.Subcutaneous emphysema.c.Tidaling in the water-seal chamber.d.Blood in the collection chamber.,"b. Subcutaneous emphysema is the collection of air underneath the skin.  It creates a 
crackling sensation when palpated.  Although subcutaneous emphysema can be an 
expected Þnding in some patients, the physician should be made aware.  Blood is not 
an abnormal Þnding.  Tidaling is normal with respiratory ßuctuations of pressure in the 
chest cavity.  Intermittent bubbling is expected when there is air in the pleural space. 
"
37,40. The nurse cares for a patient with systemic erythematous lupus (SLE).  Which laboratory Þnding should be reported immediately?,"a.Serum potassium 6 mEq/L.b.Hemoglobin 10.1 mg/dl.c.Platelet count of 110,000/L.d.Creatinine 1.5 mg/dL.","a.An elevated potassium can be potentially life-threatening as it interferes with cardiac 
conduction.  Repolarization abnormalities, such as peaked T waves, are early signs.  
When potassium exceeds 6.5 mEq/L there is progressive paralysis of the atria.  
Conduction abnormalities occur at 7 mEq/L, and cardiac arrest when potassium 
exceeds 9.
"
38,41. The nurse cares for an 18-year-old patient without chronic respiratory pathology and a respiratory rate of 30 breath/min.  Which of the following arterial blood gases results would prompt the nurse to contact the physician?,"a.pH 7.35, PaCO2 30, HCO3 20.b.pH 7.45, PaCO2 50, HCO3 30.c.pH 7.31, PaCO2 55, HCO3 28.d.pH 7.48, PaCO2 55, HCO3 30. ","c. The arterial blood gas shows an uncompensated respiratory acidosis.  The patient is 
hyperventilating and the PaCO2 is still elevated.  Respiratory failure is likely if the 
patient is not treated.
"
39,42. The nurse provides discharge instruction to a patient after an extracapsular cataract extraction surgery.  Which of the following should the nurse include in the teaching?pressure.Ó,a.ÒWash the iodine solution off of your face in the shower when you get home.Ób.ÒAvoid lifting heaving objects for a few days.Óc.ÒAvoid Þber containing foods and decrease ßuid intake to avoid increasing eye d.ÒYou may resume driving the same day as discharge.Ó,"b. To avoid straining and increasing eye pressure, heavy lifting should be avoided as 
well as straining while defecating.  Increase ßuid and Þber to facilitate passage of stool.  
Avoid direct contact with face or eye, especially from a shower stream.  Sight may be 
impaired for several days so driving should be avoided.
"
40,43. The nurse cares for a patient after a bronchoscopy with needle biopsy to investigate a nodule identiÞed on chest x-ray.  Which Þnding requires immediate intervention by the nurse?,"a.The patient complains of throat pain and has a hoarse voice.b.The patient coughs up blood-tinged sputum.c.The patientÕs trachea deviates to one side.d.The patient is drowsy, moaning, and complains of thirst.","c. A deviated trachea is a cardinal sign of pneumothorax.  With needle biopsies, a rare 
complication can occur where the lung becomes punctured, pressure accumulates in 
the pleural space during spontaneous respirations, and compression of the heart and 
lungs creates respiratory distress and hemodynamic collapse.  Immediately notify the 
physician and prepare to insert a chest tube. 
"
41,44. The nurse cares for an alcoholic patient admitted with pneumonia.  The nurse anticipates delirium tremens from alcohol withdrawal during what stage of admission?,a.Within the Þrst 8 hours of admission.b.During Þrst 24 hours.c.On the second or third day.d.Four days to one week after admission. ,"c. Delirium tremens is an acute episode of delirium caused by withdrawal from alcohol. 
Symptoms include agitation, hallucinations, sweating, and signs of autonomic 
hyperactivity.  It has a signiÞcant mortality rate and occurs around day 3 following 
cessation of drinking.  Benzodiazepines are the treatment of choice. 
"
42,45. The nurse performs a preoperative assessment on a patient with cirrhotic liver disease who is planning to undergo an elective total knee replacement surgery.  Which laboratory Þnding would be considered a contraindication to elective surgery in this patient?a.Blood ammonia of 100 umol/L.,b.Total bilirubin 25 umol/L.c.Serum albumin 5 g/dL.d.Hemoglobin 11 g/dL.,"a.Hemodynamic instability in the perioperative period can worsen liver disease.  
Coagulopathies can create excessive bleeding.  The decreased hepatic perfusion at 
baseline makes the cirrhotic liver more susceptible to hypoxemia and hypotension in 
the operating room.  An elevated ammonia is a sign of worsening liver disease.  
"
43,46. Diabetic patients are at greater risk while undergoing surgery for all of the following except:,a.Infection.b.Hypoglycemia.c.Malignant hyperthermia.d.Stroke.,"c. Malignant hyperthermia is a rare life-threatening condition that is triggered by 
exposure to inhaled anesthetics and muscle relaxants.  Diabetics are no more 
susceptible to this than other patients.  Stroke from vascular disease, infection from 
elevated glucose, and hypoglycemia are all more likely in diabetic patients. 
"
44,47. The nurse encourages postoperative physical exercise to accomplish all of the following except:,a.Prevent venous stasis.b.Mobilize microthrombi. c.Increase bowel motility.d.Stimulate respiratory function.,"b. Postoperative exercises stimulate deeper respirations to avoid atelectasis, mobilizes 
the gut, and prevent blood clots through increased circulation.  The goal of 
postoperative body movement is not to transform thrombi into emboli.  
"
45,48. The nurse provides preoperative instructions to the patient several days before surgery.  The patient asks why she is instructed to bath prior to arriving at the hospital on the day of surgery.  The nurseÕs best response is:out clean.Óroom.Ó,a.ÒYou will experience sweating during the perioperative period so we want you to start b.ÒYour hair will placed under a cap and this will help to avoid tangles.Óc.ÒThe fumes from the human body react with the cautery we use in the operating d.ÒIt will reduce the number of microorganisms and lessen the chance of infection.Ó,"d. Because the skin is not sterile, reducing the number of germs on the patientÕs skin by 
washing before surgery can help to avoid infection.  Although a preparation solution will 
be applied to the incision site in the operating room, any visibly soiled areas that are 
washed with soap and water is useful.  
"
46,49. The nurse cares for a pregnant patient during the second stage of labor.  Which of the following interventions should the nurse perform?,a.Position the patientÕs legs in the stirrups for the lithotomy position.b.Allow the mother to bond with the infant.c.Perform a cleansing enema.d.Apply an ice pack to the perineum.,"a.The second stage of labor begins when the cervix is completely effaced and dilated 
and ends when the infant is born.  Once dilation and effacement are complete, the 
patient is instructed to push with each contraction to bring the presenting part of the 
anatomy down into the pelvis. 
"
47,50. The nurse cares for a patient with scleroderma.  Which vital sign obtained by the nurse might be considered unreliable?,a.Heart rate.b.Blood pressure. c.Oxygen saturation.d.Respiratory rate.,"c. Oxygen saturation (SpO2) is a meaningful measurement of pulmonary status, which 
is of particular importance in this patient population as they suffer from pulmonary 
hypertension and other complications.  Due to the connective tissue disorder and poor 
peripheral circulation, SpO2 measurement may need to be correlated with arterial blood 
gas samples because of their unreliability. 
"
48,"51. The nurse assists with endotracheal intubation on a patient in the pulmonary unit suffering from respiratory failure.  After insertion of the endotracheal tube, where would breath sounds most likely be heard if the tube was successfully inserted and advanced too far?",a.Stomach.b.Right lung.c.Left lung.d.Trachea.,"b. The right main stem bronchus branches from the trachea at a 20-30 degree angle 
from the medial axis of the trachea while the angle of the left main stem bronchus is 
40-50 degrees.  Because of this angle, the path of least resistance for a tube inserted 
too deeply would be the right lung.  After cuff inßation and lung isolation, breath sounds 
may only be heard on the right side. 
"
49,52. The nurse assesses the vital signs of a 9-year-old pediatric patient.  Which of the following would be most concerning?,a.SpO2 94%.b.Respiratory rate 24 breaths/min.c.Heart rate 110 beats/min.d.Blood pressure 89/53 mmHg. ,"a.Vital signs vary by age.  The acceptable heart rate and respiratory ranges decrease 
with age and the blood pressure increases.  The pulmonary system of pediatrics 
should function without deÞcit so any oxygen saturation less the 95% is cause for 
concern.
"
50,53. The recovery room nurse takes report on an elderly patient.  The nurse knows that the patient is at greater risk for prolonged effects from anesthesia because of all of the following except:,a.Slower circulation time.b.Increased fatty tissue.c.Decreased liver size.d.Increased blood pressure.,"d. Slower circulation time will slow down the speed of metabolism of anesthetic drugs as 
will the reduced liver size.  Inhaled anesthesia deposits in fat tissue where it is released 
mores slowly than other tissue, which can prolong the effects.  Increased blood 
pressure has no inßuence on anesthetic clearance.
"
51,54. The nurse cares for a patient new to the outpatient chemotherapy clinic.  The nurse should include all of the following instructions concerning the next 48 hours except:,"a.ÒAfter using the toilet, close the lid and ßush twice.Ób.ÒAvoid kissing loved ones, especially children.Óc.ÒUse condoms with your partner.Ód.ÒIf any bodily ßuids get on your clothes, wash them separately from your familyÕs.Ó","b. Chemotherapy medication is released from the body through urine, stool, vomit, and 
blood for 48 hours after treatments.  Visiting, sitting with, kissing, and hugging will not 
contaminate others.  Any bodily ßuids must be isolated from contact with others.
"
52,"55. The nurse cares for a patient admitted with persistent bloody cough, night sweats, and multiple inÞltrates and nodules identiÞed on chest x-ray.  Which type of infection precaution is best for this patient?",a.Droplet.b.Contact.c.Standard.d.Airborne.,"d. Night sweats, weight loss, bloody sputum, country of origin, and nodules on chest x-
ray are symptoms of tuberculosis.  Tuberculosis is spread through bacteria suspended 
in air for a much longer time than droplets.   An N95 mask or disposable respirator is 
essential.
"
53,56. The nurse cares for a patient in the post-anesthesia care unit.  What would be the priority nursing assessment after a lumbar laminectomy and discectomy to ensure safety?,a.Check femoral pulses.b.Perform neurological assessment.c.Assess for muscle spasms.d.Ensure patient voids within 2 hours.,"b. After a spine surgery, strength and sensation assessments, as compared with 
preoperative status, should be evaluated.  Special attention must be paid to 
neurological assessment and correlation with lower extremity function. 
"
54,57. The nurse assesses a 6-year-old child taken to the emergency department.  The parents state that the child had a sore throat and loss of appetite for a couple of days and today they measured a temperature of 102 F (38.8C).  What should the nurse suspect?,a.Chicken pox.b.Measles.c.Croup.d.Pertussis.,"a.Chicken pox can have several symptoms that precede a fever such as loss of 
appetite, headache, and cough.  The characteristic rash with chicken pox is papules 
(pink bumps) and vesicles (ßuid-Þlled blisters).
"
55,58. The nurse cares for a pediatric patient diagnosed with a varicella zoster infection.  What type of isolation precautions should the nurse initiate?,a.Airborne if the lesions are blistered and wet.b.Contact if the lesions are dry and crusted.c.Airborne and contact.d.Droplet. ,"c. Patients with varicella zoster or chicken pox should be placed in airborne and contact 
precautions.  Once the ßuid Þlled vesicles have burst, dried, and crusted, the patient 
may be allowed off precautions. 
"
56,59. The nurse starts an infusion of dextrose 5% in !% normal saline.  The nurse should assess for what symptom as an indication of ßuid volume overload?,a.Nausea and vomiting.b.Increased respiratory rate.c.Abdominal distention.d.Hypothermia.,"b. Increased respiratory rate, crackles, and additional signs of ßuid overload can be 
indications.  Water weight and ßuid shift differences make a child more prone to 
dyspnea and excess ßuid intake. 
"
57,60. The nurse counsels a patient who is 5 months pregnant during a regular prenatal visit.  What regular activity should the nurse caution the patient against performing?,a.Eating pork.b.Pumping gas for the car.c.Planting ßowers in the garden with gloves.d.Cleaning the catÕs litter box.,"d. If the mother contracts toxoplasmosis during pregnancy, it can be passed to the 
fetus.   Most infected infants do not have symptoms at birth but can develop serious 
symptoms later in life, such as blindness or mental disability.  Cats become infected 
by eating rodents or birds.  This can be passed through feces from a litter box. 
"
